Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\LED_2\ESP32_CUSTOM\Project Outputs for ESP32_CUSTOM\Pick Place\Pick Place for ESP32_CUSTOM.csv

========================================================================================================================
File Design Information:

Date:       26/12/24
Time:       06:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000mil","290.000mil","0","IC REG LINEAR 3.3V 1.5A SOT223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000mil","770.000mil","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.039mil","500.000mil","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","PTS645SK50SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","1400.000mil","250.000mil","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SK50SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","1400.000mil","750.000mil","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R26","0R","TopLayer","FP-AC0402-IPC_A","1841.841mil","459.000mil","180","RES 0 OHM JUMPER 1/16W 0402"
"R25","0R","TopLayer","FP-AC0402-IPC_A","1843.159mil","529.000mil","180","RES 0 OHM JUMPER 1/16W 0402"
"R24","0R","TopLayer","FP-AC0402-IPC_A","1801.841mil","459.000mil","0","RES 0 OHM JUMPER 1/16W 0402"
"R23","0R","TopLayer","FP-AC0402-IPC_A","1802.159mil","529.000mil","0","RES 0 OHM JUMPER 1/16W 0402"
"R22","10K","TopLayer","FP-AC0402-IPC_A","1011.000mil","822.841mil","270","RES SMD 10K OHM 1% 1/16W 0402"
"R21","10K","TopLayer","FP-AC0402-IPC_A","1650.000mil","290.000mil","270","RES SMD 10K OHM 1% 1/16W 0402"
"R20","10K","TopLayer","FP-AC0402-IPC_A","1010.000mil","650.000mil","90","RES SMD 10K OHM 1% 1/16W 0402"
"R19","0R","TopLayer","FP-AC0402-IPC_A","2135.000mil","145.000mil","180","RES 0 OHM JUMPER 1/16W 0402"
"R18","27R","TopLayer","FP-AC0402-IPC_A","1970.000mil","790.000mil","0","RES 27 OHM 1% 1/16W 0402"
"R17","0R","TopLayer","FP-AC0402-IPC_A","2035.000mil","145.000mil","180","RES 0 OHM JUMPER 1/16W 0402"
